l1neo	random	mrc
42	11	34
697	16	34
1019	26	34
1572	27	37
2981	36	57
3284	43	65
4413	49	71
4663	63	72
4732	67	77
7405	80	77
7814	81	79
9623	115	79
10623	125	84
10925	164	87
12809	189	87
13440	190	92
16889	192	97
17777	197	98
17870	222	102
18016	227	132
18174	227	146
18382	235	162
19131	241	175
19689	243	177
20905	249	180
21331	250	185
21953	279	192
24017	301	200
24810	314	209
25797	316	215
25876	318	230
25983	324	231
26160	330	234
26878	338	243
26925	339	244
27265	344	259
28712	350	262
28787	352	262
28996	355	273
29091	355	276
29138	361	285
29574	426	286
30236	448	290
30498	458	309
31200	486	346
31834	491	354
31952	492	368
32566	496	374
32822	498	380
34053	507	388
34561	509	388
34633	530	412
34734	530	413
35500	555	429
35554	592	440
36892	597	444
37515	598	451
39855	607	452
40092	610	471
41145	610	473
41906	612	475
42149	615	485
43111	616	487
43864	624	491
45735	627	497
46043	630	507
46793	631	507
47808	637	509
48386	659	533
49535	693	534
49633	696	557
49815	708	558
50572	735	583
50624	739	583
53025	750	583
54691	767	587
54893	782	593
55095	796	595
56957	825	613
59782	826	624
60528	835	627
60813	846	630
61096	850	631
61155	854	632
61926	869	643
62527	885	665
62934	893	675
63752	902	676
63795	906	683
64254	906	687
64593	911	695
65992	916	699
66629	934	706
68016	940	707
68028	944	721
68874	947	738
69153	961	747
70030	970	748
73086	1015	762
73457	1021	762
74145	1040	776
74673	1041	776
75360	1049	777
76971	1054	782
78485	1055	794
79273	1061	795
79302	1066	800
79731	1079	829
79739	1087	844
80868	1095	854
80945	1096	863
83204	1110	865
84045	1121	867
84531	1127	886
85969	1134	886
86177	1150	891
87537	1163	900
87754	1165	914
88115	1170	926
88879	1194	928
89423	1194	932
91225	1232	941
91306	1238	941
91849	1240	941
97408	1251	997
97825	1268	997
97826	1284	1010
98170	1307	1034
98496	1307	1038
99415	1307	1047
100444	1310	1047
100691	1319	1052
100764	1338	1059
100834	1340	1070
103187	1356	1101
103991	1361	1127
104593	1366	1144
105161	1373	1175
105788	1430	1189
106436	1435	1199
106918	1456	1201
107426	1459	1205
108187	1459	1215
108917	1467	1225
110090	1476	1225
111486	1477	1236
111622	1491	1238
111666	1503	1246
112180	1523	1249
112470	1523	1249
112769	1528	1255
112969	1535	1262
113132	1539	1271
115590	1553	1276
116401	1563	1278
117377	1566	1284
117425	1571	1309
117443	1587	1327
117892	1587	1329
120610	1596	1331
