chr	ref	refGapped	wgs	loc	ins
chr1	249250621	225008130	2308168	189	201
chr2	243199373	237869774	1675135	101	106
chr3	198022430	194530265	1744357	118	121
chr4	191154276	187113484	976399	75	77
chr5	180915260	176923268	2037480	138	143
chr6	171115067	167217486	1194256	95	97
chr7	159138663	153843865	1349905	82	87
chr8	146364022	141734997	1297662	88	91
chr9	141213431	119793238	1049996	66	71
chr10	135534747	130902665	1044851	81	84
chr11	135006516	129733045	1292831	66	69
chr12	133851895	129579825	1209445	94	102
chr13	115169878	95583857	570964	36	38
chr14	107349540	88224679	774040	36	41
chr15	102531392	81643663	915552	47	49
chr16	90354753	78277154	729477	46	51
chr17	81195210	77620609	747181	27	29
chr18	78077248	74607725	515334	44	44
chr19	59128983	54536826	472143	19	20
chr20	63025520	59376080	590134	24	28
chr21	48129895	34868965	306172	13	13
chr22	51304566	34861914	240795	15	16
chrX	155270560	150405901	1064523	65	69
